tags,pilates,name,location,avg_rating,num_ratings,meditation,cycling,outdoors,personal training,rowing,boxing,dance,sports recovery,low-impact training,strength training,prenatal,running,gym time,swimming,barre,aerial,stretching,yoga
['pilates'],1,Pilates Circuit,"63 Wandsworth High Street, London",4.9,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'cycling']",1,1Rebel,"Nova South, 5 Allington Street, London",4.8,30000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'strength training']",0,Waking Dreams,"6A-B Ada St, London",4.8,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
['pilates'],1,Pilates Circuit,"4 Fulham High St, London, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'prenatal']",1,Avalon Pilates,"Unit 2, 40-48 Bromells Road, London",4.9,12500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"['strength training', 'cycling']",0,RUMBLE,"Ground Floor, Labyrinth Tower, Dalston Square Dalston, London",4.8,30000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'strength training']",1,Training Points Fitness and Therapy,"5-6 Cooper's Yard, London",4.9,17500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['cycling', 'pilates']",1,Psycle,"76 Mortimer Street, London",4.8,30000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['pilates'],1,Pilates Circuit,"Barry House 20-22 Worple Road, London",4.9,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['barre', 'pilates']",1,Barrecore,"501A Old York Rd, London",4.9,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
['pilates'],1,Pilates Circuit,"25 Mossop Street, London",4.9,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,Yoga House,"2-3 Winslade Way Catford Shopping Centre, London",4.9,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Basic Space,"5A Priory Grove, London",4.9,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['barre', 'pilates']",1,Barrecore,"12 Chepstow Rd, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['yoga', 'barre']",0,Oru Space,"20 – 22 Lordship Ln, London",4.9,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"['pilates', 'yoga']",1,3Tribes - Borough,"Unit 1 Brandon House, 180 Borough High Street, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,The Hot Spot Yoga,"25 Heathman's Rd, Ground Floor Studio, London",4.8,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['strength training', 'rowing']",0,Milo and the Bull,"62-64 St John's Hill, Battersea, London",4.9,30000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"['cycling', 'yoga']",0,Psycle,"17-23 Whitby St, London",4.8,30000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,triyoga,"57 Jamestown Rd, London",4.7,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'strength training']",1,Tempo 301 | SE17,"Tempo 301, Unit H4.R8 2 Ash Avenue, London",4.9,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['barre', 'pilates']",1,LIM Studio,"114 Highbury Park, London",4.9,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['yoga', 'strength training']",0,The Refinery,"14 Collent St, London",4.7,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"['barre', 'pilates']",1,Barrecore,"Barrecore Chelsea, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['barre', 'low-impact training']",0,Paola's BodyBarre,"2 Fulham High Street, Fulham, London",4.8,30000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"['barre', 'pilates']",1,Barrecore,"7 Pond St, London",4.8,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['pilates', 'strength training']",1,Studio Fix,"Kensington High Street, Studio Fix, London",4.9,5000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,triyoga,"10 Cygnet St, London",4.7,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Samya Studios,"Cobble Lane, London",4.9,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['barre', 'pilates']",1,Barrecore,"50 St Mary Axe, London",4.9,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
['pilates'],1,Haus Of Pilates LDN,"567 Fulham Road, 2nd Floor, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['barre', 'pilates']",1,Barrecore,"6 Cavendish Square, Lower Ground Floor, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['yoga', 'pilates']",1,Hwyl Studio,"Unit 114, 183A Anerley Road, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,triyoga,"372 King's Rd, London",4.7,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['gym time', 'strength training']",0,ONE LDN (Imperial Wharf),"The Blvd, London",4.8,25000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
['pilates'],1,X2 Pilates,"Unit 7 Stephendale Yard, Fulham, London",4.8,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'running']",1,STRONG Pilates,"68 Pentonville Road, London",4.9,7500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
['pilates'],1,Kore Gallery,"32 Commercial road, London",4.9,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'barre']",1,FLOW LDN,"11 Tottenham Street, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
['pilates'],1,Broadway Pilates,"36 Broadway Market, London",4.8,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['swimming', 'gym time']",0,Fitness First,"179A Tottenham Court Road, London",4.8,22500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"['barre', 'pilates']",1,Barrecore,"90 Upper Street, London",4.8,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['barre', 'pilates']",1,nue | ground,"32 Abbeville Road, London",4.9,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
['pilates'],1,Tempo 301 | E1,"Cygnet St, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'prenatal']",0,Yogarise,"YR Stretz, 248A Streatham High Rd, London",4.8,15000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"['pilates', 'aerial']",1,Mojo,"149a Clapham High street, Clapham Common, London",4.7,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['pilates', 'stretching']",1,Absolute Studios,"19 Heathman's Rd, Unit G, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"['pilates', 'barre']",1,Reformer Collective,"98 Balham High Road, London",4.8,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['barre', 'pilates']",1,Disco Barre Studio,"The Factory Unit 5 21-31 Shacklewell Lane, London",4.9,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['pilates', 'yoga']",1,Repose,"Repose Space Kensington, 40 Kensington High Street, London",4.9,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'prenatal']",1,Mind and Motion,"16 Streatham High Road, Streatham, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,The Life Centre,"15 Edge St, London",4.7,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Breeze Yoga,"9 Albemarle Road, Beckenham",4.8,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['barre', 'pilates']",1,EVOKE,"307A Seven Sisters Rd, Unit A Rowan Apartments , London",4.8,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['pilates', 'barre']",1,House Of Balance,"28 High St, Chislehurst",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['yoga', 'pilates']",1,triyoga,"Longfield Ave, Unit 30, London",4.8,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['strength training', 'pilates']",1,Guts & Glory,"20 Lettice Street, London",4.9,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['yoga', 'low-impact training']",0,Sadhana Yoga & Wellbeing,"91 St John's Hill, London",4.7,30000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
['pilates'],1,Reformcore,"90 Upper Street, London",4.8,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,REVIVE,"45 Balham High Road, London",4.9,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Hot Yoga Brixton,"372 Coldharbour Lane, London",4.8,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['low-impact training', 'strength training']",0,Sweat by BXR,"Level 25, 22 Bishopsgate, London",4.8,17500,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
['pilates'],1,Bootcamp Pilates,"4 Red Lion St, Richmond",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'personal training']",1,Tempo 301 | E8,"Unit 1, Great Eastern Buildings, Reading Lane, London",4.8,30000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['pilates'],1,Core LDN,"341 Upper Richmond Road West, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['barre', 'pilates']",1,Barrecore,"18 Kensington Church St, London",4.8,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['yoga', 'pilates']",1,The Space,"Unit 3B, 9 Park Hill Clapham, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'barre']",1,The Proud Project,"227-229 Chiswick High Road, London",4.9,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
['pilates'],1,Range Reformer Pilates,"12 Marshgate Lane, Stratford, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,50 Hill Rise,"Hill Rise, Richmond",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['dance', 'barre']",0,Off The Rails Studio,"Unit 8 8 Grant Road Clapham Junction , London",4.9,5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"['pilates', 'yoga']",1,The Loft Pilates Studio,"4 Jaggard Way, London",4.9,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['strength training', 'pilates']",1,Element Fitness,"1 Estreham road, London",4.9,12500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'barre']",1,Form Studios,"77 Lonsdale Rd, A, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['yoga', 'pilates']",1,Yoga at The ARC,"98b Saint Paul Street, London",4.9,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,The Yoga Quarter,"8 Hornsey St, London",4.7,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['strength training', 'yoga']",0,Strong and Bendy,"The Trowbridge Centre, 1 Trowbride Road, London",4.9,12500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"['pilates', 'prenatal']",1,Breathe Studio,"Islington House 313-314 Upper Street, Suite 7, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['pilates'],1,Reformcore,"1, 3 Arches Ln, Station Circus, Nine Elms, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'barre']",0,The Yoga Bar,"21 Paradise Rd, London",4.9,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"['yoga', 'pilates']",1,SHIVA SHAKTI STUDIOS,"137 Tottenham Lane, London",4.9,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Fold. Yoga,"Fold Yoga London, 97 Green Lanes, London",4.8,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'stretching']",1,Body Works West,"11 Lambton Pl, London",4.7,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"['yoga', 'pilates']",1,Hot Yoga Shoreditch (formerly Yoga Union),"53 East Rd, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['barre', 'pilates']",1,Barrecore,"49 High Street Wimbledon, Lower Ground Floor, London",4.8,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['yoga', 'pilates']",1,Yoga Rocks,"481 a-b Green Lanes Palmers Green, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'sports recovery']",1,APPI Clinics,"Hampstead, 2B Heath Hurst Road, London",4.9,5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"['yoga', 'stretching']",0,moreyoga,"7 Chivers Passage, Ram Quarter, Wandsworth, London",4.8,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"['yoga', 'pilates']",1,Renaissance Yoga and Wellbeing,"Tara Terrace Mantle Rd, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'yoga']",1,APPI Clinics,"Wimbledon Village, 1 Thornton Road, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'strength training']",0,Substation Brixton Ltd,"Lyham Road, London",4.8,7500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"['gym time', 'swimming']",0,Fitness First,"55 Baker St, London",4.8,15000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
['pilates'],1,Myoset Classes,"2 Clove Crescent, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,Phoenix Yoga,"228 Upper Richmond Road,, Putney",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"4 Elephant and Castle, New Lion Way, London",4.7,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'yoga']",1,Goji | Pilates & Yoga Clapham,"Goji Pilates & Yoga Studio - Clapham Old Town, 11 Old Town, London",4.9,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"275 Balham High Road, London",4.7,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Hello Studio,"330 Hornsey Rd Finsbury Park, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['pilates'],1,Pi Studios,"Ransomes Dock Business Centre, 35-37 Parkgate Rd, London",4.9,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['dance', 'aerial']",0,The Body People,"9 Copper Street, London",4.9,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"['pilates', 'strength training']",1,Sopers House LTD,"Sopers Road, Cuffley",4.9,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,MoreYoga,"Wickford Way, Walthamstow, London",4.7,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['pilates'],1,Everybody Reformer,"325 Upper Elmers End Road, Beckenham",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,Yonder Studio,"4 - 6a Hookers Road, London",4.9,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'strength training']",1,Core Kensington,"375 Kensington High St, London",4.7,17500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,Dragonfly Yoga,"22A to 24 Sydenham Road Sydenham, London",4.8,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['pilates'],1,Sculpt Studio Fitness Ltd,"54 Hayes Street, Bromley",4.9,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'prenatal']",1,Ten Health & Fitness,"2-4 Exmoor St, London",4.7,20000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['pilates'],1,DropPilates,"DropGym Mill Hill, 54 The Broadway,, London",4.9,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'prenatal']",1,Ten Health & Fitness,"38 Hatton Garden, Lower Ground Floor, London",4.7,27500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"['dance', 'aerial']",0,The Factory Fitness & Dance Centre LTD,"407 Hornsey Rd, London",4.8,5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"['gym time', 'strength training']",0,Gymbox,"123 Victoria Street, London",4.7,7500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['gym time', 'strength training']",0,Gymbox,"12a Leather Ln, London",4.7,5000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['yoga', 'barre']",0,Light Centre,"49 Marylebone High St, Marylebone, London",4.8,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"['yoga', 'pilates']",1,Hot Yoga Essex,"228B High Rd, Loughton",4.8,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['gym time', 'strength training']",0,Snap Fitness,"130-138 Newington Butts, London",4.8,5000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['yoga', 'pilates']",1,MoreYoga,"Unit B2 13 Atkins Square Dalston Lane, London",4.7,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"Unit F, Naomi Street, Greenland Place, London",4.8,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"357 Norwood Road, London",4.8,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['pilates'],1,Ten Health & Fitness,"6 Duke Street St James's, London",4.6,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,MoreYoga,"47 Liberty Bridge Road, London",4.7,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'prenatal']",1,Ten Health & Fitness,"83 Great Titchfield St, London",4.8,15000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,Serenity Space,"205 Merton Rd, London",4.7,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,ZenW2 Collective,"Zenw2 Wellness Collective, London",4.9,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'strength training']",1,High Vibe,"6 Melbourne Grove, London",4.8,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['stretching', 'yoga']",0,MoreYoga,"12 Birkbeck Mews, London",4.8,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"['gym time', 'strength training']",0,Topnotch Gyms,"Dufour's Place, London",4.8,2500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['yoga', 'pilates']",1,Kindred Yoga,"Unit D Norfolk house, Brookmill Road, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'stretching']",1,Absolute Studios,"77A College Road, London",4.9,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"['yoga', 'pilates']",1,MoreYoga,"49 Tower Bridge Rd, London",4.7,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"199 Haggerston Road, London",4.7,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['pilates'],1,Heba Pilates,"228 Upper Richmond Road, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['pilates', 'prenatal']",1,Ten Health & Fitness,"119-121 Middlesex St, London",4.7,30000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,moreyoga,"12 Lambarde Square East Greenwich, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"7 Horselydown Lane, London",4.7,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['gym time', 'strength training']",0,Fitness First,"279-291 Balham High Road, London",4.6,7500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['yoga', 'pilates']",1,Yogarise,"27 Beethoven Street, London",4.7,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'strength training']",1,Trent Park Pilates,"Bramley Rd,Trent Park Equestrian Centre, London",5.0,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'yoga']",1,YMCA at One KX,"120 Cromer St, London",4.6,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"114 Falcon Road, London",4.7,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"40 Queen St, London",4.6,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Fold Leyton,"691 High Road Leyton, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,MoreYoga,"MoreYoga, London",4.7,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['yoga', 'pilates']",1,Soma Space,"3 Honor Oak Park, London",4.9,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['gym time', 'strength training']",0,Instagym,"193-201 Stoke Newington High Street, London",4.9,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['yoga', 'pilates']",1,The Good Rooms,"56 Muswell Hill, London",4.8,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['gym time', 'strength training']",0,Southbank Club,"Southbank Club, 124-130 Wandsworth Rd, London",4.6,5000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['gym time', 'strength training']",0,Gymbox,"Unit 15 Dickens Yard, Longfield Ave, London",4.8,2500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['yoga', 'meditation']",0,MoreYoga,"21 Essex Road, London",4.6,7500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['pilates'],1,Collective Pilates,"64 Porchester Rd, London",4.7,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['gym time', 'strength training']",0,Gymbox,"71 Lombard St, London",4.6,2500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['gym time', 'strength training']",0,Fitness4Less,"Cambridge Heath Road, London",4.7,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"['gym time', 'strength training']",0,Fitness First,"105-109 Salisbury Road, Kilburn, London",4.7,2500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
